City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Waingapu,ID,78.64,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
9,Sechura,PE,74.12,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
10,Saint-Philippe,RE,74.48,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Guerrero Negro,MX,70.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
12,Rikitea,PF,75.06,scattered clouds,-23.1203,-134.9692,People ThankYou
13,Soyo,AO,77.27,light rain,-6.1349,12.3689,Hotel Mpampa
14,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Hilo,US,79.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Savannah Bight,HN,91.45,broken clouds,16.45,-85.85,Villa on Dunbar Rock
23,Shush,IR,71.85,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
24,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
25,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
27,Dhaka,BD,82.38,haze,23.7104,90.4074,Main Hostel SSMC
30,Correntina,BR,72.43,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
32,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Kavieng,PG,83.84,broken clouds,-2.5744,150.7967,Nusa Island Retreat
36,Progreso,MX,83.07,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
37,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
39,Luganville,VU,81.05,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
40,Marsa Matruh,EG,70.86,scattered clouds,31.3525,27.2453,Beau Site
41,Harper,LR,77.58,overcast clouds,4.375,-7.7169,Screensaver
43,Bandarbeyla,SO,78.21,few clouds,9.4942,50.8122,JABIR HOTEL
45,Ambon,ID,73.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
49,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
51,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Esperance,AU,67.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
54,Comodoro Rivadavia,AR,67.86,overcast clouds,-45.8667,-67.5,Austral Hotel
57,Camocim,BR,81.9,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
58,Anamur,TR,68.4,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
62,Durg,IN,67.8,few clouds,21.1833,81.2833,OYO 37028 Hotel Sheela
63,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
65,Shirgaon,IN,75.4,few clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
66,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
72,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Ribeira Grande,PT,66.69,clear sky,38.5167,-28.7,Quinta da Meia Eira
76,Jalu,LY,74.37,few clouds,29.0331,21.5482,صاحبة الفخامة
78,Bani Walid,LY,72.36,few clouds,31.7566,13.9942,منزل الصابر أبوفانة
81,Poum,NC,76.19,scattered clouds,-20.2333,164.0167,Gîte kajeon
83,Humaita,BR,85.46,broken clouds,-7.5061,-63.0208,Corrêa Hotel
86,Urbano Santos,BR,80.46,few clouds,-3.2078,-43.4036,Pousada Santa Dulce
90,Pentecoste,BR,80.67,few clouds,-3.7928,-39.2703,Motel Big love
92,Carlsbad,US,79.09,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
101,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
102,Lazaro Cardenas,MX,76.98,overcast clouds,17.9583,-102.2,quinta antigua
105,Ponta Do Sol,PT,71.71,overcast clouds,32.6667,-17.1,Hotel do Campo
108,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
110,Mercedes,AR,71.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
112,Butaritari,KI,81.48,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
116,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
117,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
118,La Palma,US,76.96,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
119,Petatlan,MX,76.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
123,Marsh Harbour,BS,81.07,light rain,26.5412,-77.0636,Abaco Beach Resort
124,Sao Filipe,CV,78.53,scattered clouds,14.8961,-24.4956,Hotel Xaguate
125,Jardim,BR,71.82,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
126,Quelimane,MZ,77.7,clear sky,-17.8786,36.8883,Hotel Flamingo
128,Harindanga,IN,78.78,clear sky,22.0383,88.3214,Hasanur Builders
131,Kahului,US,84.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
134,Celestun,MX,84.24,broken clouds,20.8667,-90.4,Posada Lilia
137,Alcudia,ES,65.19,broken clouds,39.8532,3.1214,Zafiro Tropic
139,Itabira,BR,67.96,overcast clouds,-19.6192,-43.2269,Premium Executive Hotel
140,Kibala,TD,76.95,light rain,9.1104,18.3463,hotel safari
143,Urucui,BR,84.79,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
145,Soeng Sang,TH,67.3,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
147,Tukrah,LY,79.07,overcast clouds,32.5341,20.5791,Lagrota restaurant
148,Victoria,HK,70.25,scattered clouds,22.2855,114.1577,Mini Hotel Central
154,Carutapera,BR,81.09,clear sky,-1.195,-46.02,Lidera
156,Mosta,MT,69.78,few clouds,35.9092,14.4256,The Xara Palace Relais & Chateaux
157,Myitkyina,MM,67.86,clear sky,25.3833,97.4,Shwe Phyu Hotel
