City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,22.55,snow
1,Upernavik,GL,72.7868,-56.1549,16.59,67,98,8.3,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,33.46,80,75,39.12,snow
3,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,74,0,6.24,clear sky
4,Lebu,CL,-37.6167,-73.65,57.76,77,9,10.33,clear sky
5,Hobart,AU,-42.8794,147.3294,48.06,76,75,1.01,broken clouds
6,Bluff,NZ,-46.6,168.3333,52.34,92,84,5.12,broken clouds
7,Barrow,US,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds
8,Tual,ID,-5.6667,132.75,81.32,78,95,3.2,moderate rain
9,Markova,UA,48.6758,24.4138,33.98,80,50,4.41,scattered clouds
10,Bredasdorp,ZA,-34.5322,20.0403,54.28,76,0,3.44,clear sky
11,Husavik,IS,66.0449,-17.3389,37.31,98,100,12.37,overcast clouds
12,Sitka,US,57.0531,-135.33,46.29,66,40,3.44,scattered clouds
13,Mehamn,NO,71.0357,27.8492,30.38,86,20,5.75,light snow
14,Vaini,TO,-21.2,-175.2,75.36,78,20,6.91,few clouds
15,Hermanus,ZA,-34.4187,19.2345,60.91,68,0,11.65,clear sky
16,Katsuura,JP,35.1333,140.3,55.51,58,80,8.05,broken clouds
17,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,14.97,clear sky
18,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,2.3,broken clouds
19,Nuuk,GL,64.1835,-51.7216,27.21,46,0,9.22,clear sky
20,Bengkulu,ID,-3.8004,102.2655,75.67,89,100,6.08,moderate rain
21,Quatre Cocos,MU,-20.2078,57.7625,74.08,67,80,14.47,broken clouds
22,Carnarvon,AU,-24.8667,113.6333,68.07,73,75,14.97,broken clouds
23,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,46.51,36,75,21.85,broken clouds
25,Zarautz,ES,43.2844,-2.1699,59.94,81,0,2.82,clear sky
26,Udachnyy,RU,66.4167,112.4,9.66,99,98,3.6,overcast clouds
27,Staraya Poltavka,RU,50.4772,46.4814,43.77,57,100,6.98,overcast clouds
28,Alampur,IN,15.8833,78.15,74.39,76,85,4.18,overcast clouds
29,Antalaha,MG,-14.9003,50.2788,75.47,90,100,4.36,light rain
30,Airai,TL,-8.9266,125.4092,61.09,89,100,0.81,overcast clouds
