City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2021-10-24 18:23:49,69.7008,170.3133,7.18,94,100,2.13
1,Mataura,NZ,2021-10-24 18:32:04,-46.1927,168.8643,53.35,90,99,0.78
2,East London,ZA,2021-10-24 18:35:24,-33.0153,27.9116,59.94,77,40,4.61
3,Saint-Philippe,RE,2021-10-24 18:32:57,-21.3585,55.7679,76.59,84,39,12.95
4,Torbay,CA,2021-10-24 18:25:38,47.6666,-52.7314,60.49,94,90,20.71
5,Albany,US,2021-10-24 18:32:22,42.6001,-73.9662,58.8,60,73,1.99
6,Birobidzhan,RU,2021-10-24 18:35:25,48.8,132.95,39.06,69,6,3.22
7,Yellowknife,CA,2021-10-24 18:35:25,62.456,-114.3525,41.56,84,90,21.85
8,Palmer,US,2021-10-24 18:27:31,42.1584,-72.3287,60.58,45,20,1.99
9,Havoysund,NO,2021-10-24 18:26:21,70.9963,24.6622,27.48,84,96,13.85
10,Bontang,ID,2021-10-24 18:35:26,0.1333,117.5,76.55,90,94,5.01
11,Meulaboh,ID,2021-10-24 18:32:06,4.1363,96.1285,75.42,89,100,4.34
12,Nikolskoye,RU,2021-10-24 18:35:27,59.7035,30.7861,33.87,82,92,4.0
13,Bluff,NZ,2021-10-24 18:32:34,-46.6,168.3333,52.61,94,100,4.74
14,Guerrero Negro,MX,2021-10-24 18:35:27,27.9769,-114.0611,71.02,56,0,14.07
15,Nilakkottai,IN,2021-10-24 18:35:29,10.1648,77.8529,76.08,86,100,1.99
16,El Vigia,VE,2021-10-24 18:35:29,8.6219,-71.6506,87.42,68,65,3.76
17,Bredasdorp,ZA,2021-10-24 18:35:30,-34.5322,20.0403,55.27,71,0,3.44
18,Punta Arenas,CL,2021-10-24 18:31:01,-53.15,-70.9167,46.51,61,75,31.07
19,Moose Factory,CA,2021-10-24 18:35:30,51.2585,-80.6094,41.0,87,90,0.0
20,Dikson,RU,2021-10-24 18:25:40,73.5069,80.5464,7.27,86,100,19.04
21,Ushuaia,AR,2021-10-24 18:35:31,-54.8,-68.3,37.06,93,75,31.07
22,La Ronge,CA,2021-10-24 18:32:08,55.1001,-105.2842,37.65,81,90,16.11
23,Tsagan Aman,RU,2021-10-24 18:35:32,47.5639,46.7218,51.48,46,100,9.26
24,Machali,CL,2021-10-24 18:30:53,-34.1833,-70.6667,74.48,19,0,13.8
25,Fortuna,US,2021-10-24 18:31:20,40.5982,-124.1573,56.93,68,100,1.01
26,Vestmannaeyjar,IS,2021-10-24 18:26:21,63.4427,-20.2734,47.39,93,20,11.5
27,Hermanus,ZA,2021-10-24 18:35:33,-34.4187,19.2345,59.9,66,0,11.39
28,Hilo,US,2021-10-24 18:35:33,19.7297,-155.09,78.28,92,94,1.01
29,Hobart,AU,2021-10-24 18:35:33,-42.8794,147.3294,48.06,78,90,3.0
30,Port Elizabeth,ZA,2021-10-24 18:35:34,-33.918,25.5701,57.09,88,20,3.44
31,Kerrville,US,2021-10-24 18:35:34,30.0474,-99.1403,82.26,83,75,12.66
32,Paracuru,BR,2021-10-24 18:35:35,-3.41,-39.0306,87.82,59,5,14.63
33,Lorengau,PG,2021-10-24 18:35:35,-2.0226,147.2712,80.56,79,54,7.76
34,Aykhal,RU,2021-10-24 18:24:25,66.0,111.5,21.72,97,100,5.5
35,Anadyr,RU,2021-10-24 18:35:36,64.75,177.4833,3.7,85,75,6.71
36,Gambela,ET,2021-10-24 18:35:36,8.25,34.5833,79.57,55,66,3.13
37,Rikitea,PF,2021-10-24 18:35:36,-23.1203,-134.9692,74.73,71,59,16.96
38,Kasumkent,RU,2021-10-24 18:35:37,41.6773,48.146,52.0,80,7,2.26
39,Hithadhoo,MV,2021-10-24 18:33:40,-0.6,73.0833,82.0,75,27,13.42
40,Camacha,PT,2021-10-24 18:34:53,33.0833,-16.3333,67.42,64,40,11.5
41,Parainen,FI,2021-10-24 18:35:37,60.3067,22.301,48.15,90,100,19.48
42,Jiangyou,CN,2021-10-24 18:35:38,31.7667,104.7167,59.02,84,100,1.21
43,Aktash,RU,2021-10-24 18:35:39,50.3,87.7333,18.9,85,37,3.4
44,Lienz,AT,2021-10-24 18:35:39,46.8289,12.769,44.19,81,0,2.28
45,Margate,GB,2021-10-24 18:27:23,51.3813,1.3862,57.31,76,61,3.0
46,Sitka,US,2021-10-24 18:26:10,57.0531,-135.33,46.29,71,40,8.05
47,Noumea,NC,2021-10-24 18:34:52,-22.2763,166.4572,73.99,99,5,8.19
48,Barrow,US,2021-10-24 18:35:40,71.2906,-156.7887,28.42,74,90,6.91
49,Tuktoyaktuk,CA,2021-10-24 18:35:40,69.4541,-133.0374,21.51,94,26,2.51
50,Atuona,PF,2021-10-24 18:35:41,-9.8,-139.0333,77.92,70,15,17.67
51,Port Alfred,ZA,2021-10-24 18:35:41,-33.5906,26.891,61.68,69,59,11.63
52,Kerewan,GM,2021-10-24 18:35:42,13.4898,-16.0888,86.11,72,100,5.1
53,Carnarvon,AU,2021-10-24 18:35:42,-24.8667,113.6333,69.87,73,90,14.97
54,Cape Town,ZA,2021-10-24 18:30:47,-33.9258,18.4232,61.27,67,20,4.0
55,Goundam,ML,2021-10-24 18:33:53,16.4145,-3.6708,96.37,21,64,4.52
56,Saint George,US,2021-10-24 18:26:01,37.1041,-113.5841,67.78,39,1,1.01
57,Itzehoe,DE,2021-10-24 18:35:43,53.921,9.5153,46.94,79,4,1.99
58,Ust-Barguzin,RU,2021-10-24 18:35:43,53.45,108.9833,35.62,92,72,4.16
59,Hamilton,US,2021-10-24 18:34:55,39.1834,-84.5333,63.99,96,90,1.01
60,Bandarbeyla,SO,2021-10-24 18:32:54,9.4942,50.8122,79.16,74,97,7.96
61,Xining,CN,2021-10-24 18:35:44,36.6167,101.7667,41.52,73,87,1.39
62,Port Keats,AU,2021-10-24 18:35:44,-14.25,129.55,81.25,77,46,5.37
63,Broken Hill,AU,2021-10-24 18:27:26,-31.95,141.4333,49.71,43,0,8.05
64,Tasiilaq,GL,2021-10-24 18:33:14,65.6145,-37.6368,32.16,95,100,22.55
65,Yumen,CN,2021-10-24 18:25:53,40.2833,97.2,43.75,39,95,15.43
66,Vaini,TO,2021-10-24 18:32:28,-21.2,-175.2,69.96,83,20,5.75
67,Jamestown,US,2021-10-24 18:35:45,42.097,-79.2353,54.99,76,90,5.01
68,Sinazongwe,ZM,2021-10-24 18:35:46,-17.2614,27.4618,84.97,42,9,2.17
69,Geraldton,AU,2021-10-24 18:35:46,-28.7667,114.6,65.12,77,90,5.75
70,Lompoc,US,2021-10-24 18:26:14,34.6391,-120.4579,70.7,68,90,6.91
71,Busselton,AU,2021-10-24 18:35:47,-33.65,115.3333,57.04,86,100,11.34
72,Mabama,TZ,2021-10-24 18:35:47,-5.1333,32.5333,79.57,38,83,3.94
73,Qaanaaq,GL,2021-10-24 18:35:48,77.484,-69.3632,-3.08,60,0,10.63
74,Port Lincoln,AU,2021-10-24 18:35:48,-34.7333,135.8667,52.09,73,0,12.44
75,Upernavik,GL,2021-10-24 18:35:48,72.7868,-56.1549,16.25,68,77,8.81
